City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1111,Ati,TD,75.61,light rain,13.22,18.34,
1113,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
1116,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
1119,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Hotel Central
1122,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
1123,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
1126,Ixtapa,MX,80.01,light rain,20.7,-105.2,Container Inn Puerto Vallarta
1130,Champasak,LA,87.8,scattered clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
1135,Lethem,GY,76.55,scattered clouds,3.38,-59.8,Savannah Inn
1137,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1150,Pathein,MM,88.57,light rain,16.78,94.73,Pathein Hotel
1151,Gat,IL,77.0,few clouds,31.61,34.76,OlusHome
1157,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
1161,Acapulco,MX,80.51,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
1162,Bandhi,PK,82.4,clear sky,26.59,68.3,Rehmani muhalla
1171,Kumluca,TR,80.35,clear sky,36.37,30.29,TurkuazKöy
1176,Mareeba,AU,82.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
1182,Bengkulu,ID,84.87,clear sky,-3.8,102.27,Grage Hotel Bengkulu
1191,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
1196,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
1197,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
1203,Victoria,HK,88.0,broken clouds,22.29,114.16,Mini Hotel Central
1205,Vanimo,PG,86.94,clear sky,-2.67,141.3,Vahmoneh Lodge Vanimo
1215,Faanui,PF,77.61,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
1218,Baghdad,IQ,80.6,clear sky,33.34,44.4,Baghdad Hotel
1219,Kalmunai,LK,81.82,overcast clouds,7.42,81.82,VS Villa
